iter	Passed	Remaining
0	1	141
1	2	141
2	4	137
3	5	130
4	6	130
5	8	130
6	9	129
7	11	129
8	12	128
9	14	126
10	15	125
11	16	123
12	18	120
13	19	119
14	20	117
15	21	114
16	23	113
17	24	111
18	25	109
19	27	108
20	28	106
21	29	105
22	30	103
23	32	102
24	33	101
25	34	99
26	36	97
27	37	96
28	38	95
29	40	93
30	41	91
31	42	90
32	43	89
33	45	87
34	46	86
35	47	84
36	48	83
37	50	81
38	51	80
39	52	79
40	53	77
41	54	75
42	55	74
43	57	72
44	58	71
45	59	69
46	60	68
47	62	67
48	63	65
49	64	64
50	65	63
51	67	62
52	68	61
53	70	59
54	70	57
55	72	57
56	73	55
57	75	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	88	39
69	90	38
70	91	37
71	93	36
72	94	34
73	95	33
74	96	32
75	98	30
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	21
83	108	20
84	109	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	117	11
91	118	10
92	119	9
93	121	7
94	122	6
95	123	5
96	124	3
97	126	2
98	127	1
99	128	0
