iter	RMSE
0	14.60845793
1	14.29475009
2	14.00215366
3	13.72697329
4	13.45409306
5	13.20596386
6	12.97356517
7	12.72480311
8	12.49969029
9	12.27644691
10	12.06515098
11	11.87588951
12	11.69792937
13	11.517027
14	11.34888421
15	11.19094661
16	11.04287534
17	10.91023721
18	10.77015895
19	10.64300504
20	10.5126342
21	10.40092254
22	10.28901084
23	10.18629483
24	10.08205271
25	9.983571583
26	9.889386827
27	9.807649185
28	9.724838841
29	9.649766012
30	9.569423693
31	9.503918364
32	9.433631825
33	9.373435881
34	9.316956072
35	9.254064057
36	9.203010317
37	9.156054468
38	9.114035962
39	9.075249394
40	9.03148639
41	8.993995644
42	8.957389238
43	8.919393235
44	8.883580819
45	8.849705839
46	8.816801232
47	8.78673802
48	8.753463575
49	8.724874912
50	8.700517527
51	8.67818995
52	8.657833965
53	8.63725571
54	8.617314525
55	8.597290837
56	8.578602842
57	8.559957104
58	8.543086807
59	8.52786713
60	8.513559054
61	8.500416917
62	8.486528336
63	8.476409473
64	8.465373041
65	8.454630237
66	8.443535096
67	8.434084755
68	8.426328692
69	8.415052601
70	8.404567264
71	8.394622445
72	8.387271329
73	8.377971717
74	8.369918978
75	8.360764878
76	8.356703451
77	8.348979143
78	8.343329866
79	8.336507372
80	8.329354607
81	8.321927017
82	8.317040798
83	8.310522208
84	8.30599936
85	8.300017018
86	8.293270529
87	8.2871168
88	8.281874982
89	8.277115874
90	8.273386148
91	8.26947757
92	8.2651765
93	8.26049699
94	8.25781479
95	8.253418864
96	8.250253819
97	8.244565156
98	8.2399975
99	8.236700346
100	8.233260612
101	8.227163656
102	8.222770983
103	8.220890665
104	8.219039015
105	8.216413526
106	8.213837161
107	8.210080237
108	8.206638195
109	8.204916066
110	8.201269875
111	8.19811456
112	8.193130559
113	8.189851315
114	8.185997379
115	8.181110779
116	8.178622725
117	8.173198344
118	8.16799199
119	8.161055953
120	8.156464355
121	8.150646375
122	8.147934809
123	8.144426092
124	8.137600303
125	8.134112762
126	8.131672942
127	8.131285173
128	8.130094123
129	8.128497019
130	8.126971738
131	8.124969816
132	8.122636128
133	8.118972859
134	8.116431702
135	8.113974414
136	8.112328596
137	8.111103898
138	8.107328129
139	8.105976806
140	8.103190816
141	8.097492519
142	8.093435573
143	8.090558487
144	8.088864776
145	8.083992372
146	8.080660627
147	8.078609878
148	8.07544426
149	8.071775035
150	8.068222231
151	8.065451381
152	8.062426089
153	8.057454298
154	8.054488732
155	8.050428641
156	8.048546735
157	8.04184709
158	8.040158162
159	8.036456092
160	8.03386224
161	8.029499245
162	8.027091179
163	8.025726284
164	8.022635288
165	8.019824896
166	8.017646851
167	8.013564478
168	8.009663754
169	8.006157146
170	8.004703867
171	7.999574083
172	7.994857117
173	7.991013437
174	7.98821934
175	7.985198292
176	7.981040819
177	7.978249453
178	7.974717098
179	7.969452889
180	7.967199906
181	7.963987085
182	7.961618575
183	7.960374342
184	7.957456296
185	7.953143368
186	7.951161337
187	7.947229135
188	7.945291592
189	7.941738535
190	7.939857496
191	7.935979651
192	7.934105257
193	7.930887375
194	7.929141495
195	7.92682817
196	7.924812408
197	7.9235633
198	7.920983597
199	7.917236304
200	7.915543758
201	7.913594498
202	7.912268281
203	7.9103133
204	7.905791397
205	7.904488453
206	7.901366579
207	7.892502832
208	7.891356151
209	7.887933073
